"team ID","week","passing score","rushing score","win score","defense score","first down","special teams","total score"
"2692","1","1.8000000000000003","8.61","-11.2","-3.479","1.0","29.490000000000002","26.221000000000004"
"254","1","41.150000000000006","19.75","11.2","4.997","12.8","13.92","103.81700000000001"
"154","1","29.950000000000003","14.13","6.2","-2.4120000000000004","8.5","16.17","72.53800000000001"
"2655","1","28.5","8.17","-6.2","-4.0440000000000005","10.7","24.490000000000002","61.61600000000001"
"2466","1","20.05","1.1800000000000002","-15.4","-8.886","2.1","20.47","19.514"
"245","1","34.05","55.760000000000005","15.4","-2.2670000000000003","11.3","13.93","128.173"
"302","1","41.55","25.490000000000002","6.2","-3.6020000000000003","6.4","18.05","94.088"
"23","1","34.95","19.43","-6.2","-4.113","13.2","18.02","75.28699999999999"
"98","1","9.9","6.54","-11.2","-3.347000000000001","9.6","16.61","28.103"
"275","1","27.6","24.090000000000003","11.2","-1.1850000000000005","7.800000000000001","16.64","86.145"
"328","1","15.25","19.5","-6.4","12.315999999999999","7.6000000000000005","13.27","61.536"
"127","1","27.85","20.67","6.4","0.20199999999999996","8.8","14.110000000000001","78.032"
"21","1","9.0","13.870000000000001","-9.2","-2.1440000000000006","4.2","19.849999999999998","35.576"
"24","1","42.0","2.7800000000000002","9.2","1.5289999999999997","6.6","13.760000000000002","75.869"
"183","1","25.4","47.32","7.6","-5.457000000000001","13.399999999999999","20.03","108.293"
"2711","1","35.6","30.380000000000003","-7.6","-6.520000000000001","9.4","11.450000000000001","72.71"
"2405","1","10.950000000000001","21.689999999999998","-11.8","-7.041","10.000000000000002","14.35","38.149"
"2199","1","49.150000000000006","20.94","11.8","-1.962000000000001","9.100000000000001","15.3","104.32799999999999"
"349","1","18.25","14.870000000000001","-9.0","0.5229999999999997","15.399999999999999","7.080000000000001","47.123000000000005"
"150","1","19.650000000000002","27.55","9.0","-2.2050000000000005","14.100000000000001","11.450000000000001","79.545"
"2502","1","24.1","5.78","-15.600000000000001","-7.812000000000001","8.3","29.720000000000002","44.488"
"2440","1","46.2","35.15","15.600000000000001","20.184","6.9","17.990000000000002","142.024"
"38","1","43.300000000000004","25.3","11.4","2.271999999999999","6.700000000000001","16.4","105.37200000000001"
"36","1","58.2","6.050000000000001","-6.8","-8.489","19.2","11.98","80.141"
"97","1","23.150000000000002","1.06","-12.4","-6.823","4.6000000000000005","19.9","29.487"
"333","1","30.1","29.520000000000003","12.4","22.944000000000003","8.8","19.67","123.43400000000001"
"231","1","10.5","6.380000000000001","-13.200000000000001","-3.027000000000001","4.4","17.05","22.103"
"228","1","41.400000000000006","24.8","13.200000000000001","3.229","9.8","14.33","106.759"
"2046","1","6.15","4.84","-14.0","-4.636000000000001","2.2","16.0","10.553999999999998"
"61","1","33.1","32.53","14.0","-0.5840000000000003","6.5","16.490000000000002","102.036"
"204","1","24.700000000000003","22.19","-14.200000000000001","-1.3070000000000022","5.3","17.540000000000003","54.223"
"194","1","49.0","49.28","14.200000000000001","7.3359999999999985","21.5","6.49","147.806"
"264","1","21.6","5.430000000000001","-6.0","-4.140000000000001","6.0","12.47","35.36"
"2","1","23.25","13.8","9.0","1.234","17.7","13.83","78.814"
"2226","1","10.400000000000002","19.02","-14.8","-9.05","8.0","12.080000000000002","25.650000000000002"
"201","1","38.849999999999994","46.19","14.8","-0.9080000000000008","8.5","12.94","120.37199999999999"
"2026","1","27.950000000000003","20.32","-6.4","-5.378","16.0","26.73","79.22200000000001"
"213","1","20.3","40.69","6.4","-4.667000000000001","11.4","19.809999999999995","93.93299999999999"
"130","1","13.8","9.23","-6.4","-0.18400000000000016","6.6000000000000005","21.590000000000003","44.63600000000001"
"87","1","15.25","19.07","9.4","-0.2190000000000003","16.799999999999997","21.259999999999998","81.56099999999999"
"2439","1","19.05","21.83","-9.4","-4.517000000000001","10.0","16.26","53.223"
"30","1","23.1","29.330000000000002","9.4","-0.8850000000000007","6.700000000000001","19.03","86.67500000000001"
"2582","1","8.450000000000001","4.54","-14.600000000000001","-6.4830000000000005","3.0","16.06","10.966999999999999"
"2628","1","40.5","24.17","14.600000000000001","5.905000000000001","7.5","20.969999999999995","113.64500000000001"
